Milwaukee,Chicago,time_rem
46-26,31-41,48M 0S
0,0,47M 42S
0,3,46M 21S
3,3,46M 5S
5,3,44M 31S
5,6,44M 11S
5,9,43M 31S
7,9,43M 16S
7,12,43M 5S
7,15,42M 40S
9,15,42M 23S
10,15,41M 49S
10,17,41M 37S
13,17,41M 29S
13,19,40M 57S
16,19,40M 50S
19,19,40M 22S
19,20,40M 1S
19,22,39M 9S
21,22,38M 51S
21,24,38M 38S
21,26,38M 6S
21,28,37M 52S
23,28,37M 20S
23,31,36M 57S
23,33,36M 48S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
23,36,35M 36S
25,36,35M 21S
25,38,35M 8S
26,38,34M 22S
27,38,34M 22S
28,38,33M 54S
29,38,33M 54S
29,40,33M 36S
31,40,33M 20S
31,42,32M 27S
32,42,32M 11S
33,42,32M 11S
33,44,31M 58S
33,45,31M 23S
33,46,31M 23S
35,46,30M 56S
35,48,30M 32S
37,48,29M 49S
38,48,29M 27S
39,48,29M 27S
40,48,29M 27S
42,48,28M 27S
43,48,27M 52S
43,50,27M 19S
46,50,26M 24S
48,50,25M 53S
49,50,25M 53S
51,50,25M 23S
51,52,25M 3S
53,52,24M 48S
54,52,24M 29S
54,55,24M 17S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
54,57,23M 27S
56,57,22M 51S
56,59,22M 29S
56,61,21M 57S
57,61,21M 34S
57,63,20M 38S
59,63,20M 19S
59,64,20M 8S
59,65,20M 8S
59,67,19M 52S
59,68,19M 52S
61,68,19M 41S
61,70,19M 22S
64,70,18M 52S
64,72,18M 26S
66,72,18M 15S
67,72,17M 45S
68,72,17M 45S
70,72,17M 25S
70,74,17M 13S
72,74,16M 56S
72,76,16M 31S
74,76,16M 16S
74,79,16M 2S
77,79,15M 46S
77,82,15M 27S
77,84,14M 59S
80,84,14M 38S
80,85,13M 53S
83,85,13M 41S
83,87,13M 25S
85,87,13M 9S
85,89,12M 52S
85,91,12M 35S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
86,91,10M 56S
87,91,10M 56S
87,94,10M 33S
89,94,10M 19S
89,97,10M 1S
89,100,9M 32S
89,102,8M 41S
92,102,8M 18S
93,102,7M 37S
94,102,7M 37S
94,104,7M 6S
94,106,6M 26S
95,106,6M 11S
97,106,5M 25S
98,106,5M 9S
98,109,4M 43S
98,110,4M 12S
98,111,4M 12S
100,111,3M 54S
100,113,3M 37S
103,113,3M 29S
103,114,3M 3S
106,114,2M 29S
107,114,1M 33S
108,114,1M 33S
110,114,35S
110,115,31S
110,116,26S
110,117,18S
110,118,18S
112,118,12S
End of 4th quarter,NA,0S
