Minnesota,LA Lakers,time_rem
9-31,27-13,48M 0S
0,2,47M 43S
0,5,46M 35S
2,5,46M 22S
4,5,46M 2S
4,7,45M 41S
5,7,45M 10S
6,7,45M 10S
6,8,44M 58S
6,9,44M 58S
8,9,44M 48S
8,10,44M 39S
8,12,44M 33S
11,12,44M 18S
11,13,44M 6S
11,14,44M 6S
14,14,43M 53S
14,15,43M 38S
14,16,43M 38S
16,16,43M 25S
16,17,43M 14S
18,17,43M 3S
18,19,42M 52S
19,19,42M 3S
20,19,42M 3S
22,19,41M 15S
22,20,40M 54S
24,20,40M 35S
24,22,40M 23S
25,22,39M 33S
26,22,39M 33S
26,24,39M 17S
26,26,38M 46S
28,26,38M 7S
30,26,37M 22S
30,28,36M 59S
30,31,36M 3S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
32,31,35M 39S
32,33,35M 29S
35,33,35M 11S
35,34,34M 57S
35,35,34M 57S
37,35,34M 44S
37,37,34M 25S
37,39,33M 52S
39,39,33M 39S
39,41,33M 17S
41,41,32M 35S
41,43,32M 14S
41,45,31M 47S
41,46,31M 47S
43,46,31M 30S
45,46,31M 12S
48,46,30M 36S
48,48,30M 13S
49,48,29M 58S
50,48,29M 58S
50,51,29M 43S
50,54,29M 26S
52,54,28M 34S
52,55,28M 17S
52,56,28M 17S
53,56,28M 3S
54,56,28M 3S
54,57,27M 47S
54,58,27M 47S
56,58,27M 31S
56,61,27M 20S
58,61,27M 9S
58,63,26M 56S
60,63,26M 41S
60,65,26M 14S
63,65,25M 58S
63,67,25M 32S
64,67,25M 26S
65,67,25M 26S
65,69,25M 3S
65,71,24M 45S
67,71,24M 31S
70,71,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
73,71,23M 45S
76,71,23M 10S
78,71,22M 13S
78,72,21M 59S
78,73,21M 59S
78,74,21M 59S
80,74,21M 50S
80,77,21M 31S
80,79,20M 47S
82,79,20M 35S
84,79,20M 1S
84,82,19M 12S
84,84,18M 13S
85,84,18M 3S
85,87,17M 8S
87,87,16M 54S
Jump ball: T. Horton,Tucker vs. R. Rubio (M. Harrell gains possession),16M 31S
87,90,16M 26S
87,92,15M 43S
87,94,15M 4S
88,94,14M 14S
89,94,14M 14S
91,94,13M 48S
91,96,13M 42S
91,98,13M 0S
91,100,12M 40S
94,100,12M 26S
94,101,12M 3S
94,102,12M 3S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
94,104,11M 46S
94,105,11M 46S
96,105,10M 41S
96,107,10M 27S
98,107,9M 15S
98,109,9M 3S
100,109,8M 46S
100,111,8M 31S
102,111,8M 17S
102,113,7M 57S
104,113,7M 44S
104,116,7M 25S
104,119,6M 14S
107,119,5M 56S
109,119,4M 58S
109,121,4M 37S
109,123,4M 17S
110,123,4M 4S
110,126,3M 51S
113,126,3M 30S
113,127,2M 58S
113,128,2M 58S
113,131,2M 50S
115,131,2M 33S
117,131,1M 59S
117,133,1M 29S
117,135,38S
119,135,35S
119,137,20S
121,137,8S
End of 4th quarter,NA,0S
