Houston,Sacramento,time_rem
11-24,15-22,48M 0S
0,0,47M 42S
3,0,47M 4S
3,2,46M 23S
3,4,45M 34S
4,4,45M 21S
4,6,45M 7S
4,7,45M 7S
6,7,44M 57S
6,8,44M 43S
6,9,44M 43S
9,9,44M 32S
11,9,44M 8S
11,11,43M 47S
12,11,43M 38S
12,13,43M 20S
13,13,43M 11S
13,16,42M 55S
16,16,42M 12S
16,18,42M 2S
16,19,42M 2S
17,19,41M 44S
18,19,41M 44S
18,21,41M 31S
20,21,41M 12S
20,23,41M 0S
22,23,40M 30S
22,25,40M 13S
22,26,40M 13S
23,26,40M 3S
24,26,40M 3S
24,27,39M 52S
24,28,39M 52S
26,28,39M 19S
26,31,38M 42S
29,31,38M 23S
31,31,37M 37S
31,32,37M 12S
31,33,37M 12S
31,35,36M 52S
33,35,36M 37S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
35,35,35M 48S
37,35,35M 21S
37,37,35M 8S
39,37,34M 52S
39,39,34M 47S
39,40,34M 47S
39,43,34M 22S
39,44,34M 1S
39,45,34M 1S
39,47,33M 3S
39,49,32M 51S
39,50,32M 51S
39,52,30M 47S
41,52,30M 14S
41,54,29M 56S
42,54,29M 44S
43,54,29M 44S
Jump ball: R. Holmes vs. K. Porter (C. Joseph gains possession),NA,29M 29S
45,54,29M 14S
45,55,29M 1S
47,55,28M 53S
49,55,27M 50S
49,58,27M 41S
49,59,27M 10S
49,61,26M 52S
49,63,25M 28S
51,63,25M 22S
51,65,25M 5S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
54,65,23M 43S
54,67,23M 3S
54,69,22M 44S
54,71,22M 9S
56,71,21M 54S
57,71,21M 54S
57,72,21M 34S
57,73,21M 34S
59,73,21M 26S
59,75,21M 9S
59,76,20M 56S
59,77,20M 56S
59,78,20M 40S
59,79,20M 40S
61,79,19M 35S
61,81,19M 14S
63,81,18M 45S
63,82,18M 21S
66,82,18M 10S
67,82,17M 49S
68,82,17M 49S
68,84,17M 36S
70,84,17M 22S
70,86,17M 11S
72,86,16M 57S
72,89,16M 12S
72,91,15M 40S
74,91,14M 52S
74,93,14M 18S
77,93,14M 1S
79,93,13M 4S
81,93,12M 38S
Jump ball: N. Bjelica vs. S. Brown (M. Bagley gains possession),NA,12M 18S
81,94,12M 13S
81,95,12M 13S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
81,98,11M 23S
84,98,11M 7S
84,101,10M 49S
87,101,10M 33S
89,101,10M 7S
89,104,9M 43S
91,104,9M 23S
91,106,8M 59S
91,108,7M 38S
91,111,7M 15S
91,113,6M 43S
93,113,6M 28S
93,116,6M 4S
95,116,5M 46S
95,119,5M 18S
95,121,4M 38S
98,121,4M 2S
100,121,3M 1S
100,123,2M 41S
103,123,1M 33S
103,125,45S
105,125,37S
End of 4th quarter,NA,0S
