LA Lakers,Detroit,time_rem
14-6,5-14,48M 0S
0,0,47M 38S
3,0,47M 31S
3,2,47M 14S
3,4,46M 45S
3,6,46M 21S
4,6,45M 52S
4,9,45M 41S
7,9,45M 26S
9,9,45M 10S
10,9,45M 10S
10,11,44M 53S
12,11,44M 29S
12,14,44M 13S
14,14,43M 52S
14,16,43M 36S
17,16,43M 11S
20,16,42M 56S
20,17,42M 34S
20,18,42M 34S
21,18,42M 13S
22,18,42M 13S
22,19,41M 55S
22,20,41M 55S
22,22,41M 31S
24,22,40M 47S
24,25,40M 31S
26,25,39M 58S
26,27,39M 37S
26,30,38M 58S
Jump ball: J. Grant vs. K. Caldwell,Pope (B. Griffin gains possession),38M 19S
26,31,38M 14S
26,32,38M 14S
26,34,37M 32S
29,34,37M 17S
31,34,36M 8S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
31,35,35M 19S
31,36,35M 19S
33,36,34M 59S
35,36,34M 37S
35,39,33M 57S
38,39,33M 14S
40,39,32M 37S
41,39,32M 37S
41,41,31M 58S
41,43,31M 31S
41,45,30M 45S
44,45,30M 29S
47,45,29M 58S
47,47,29M 28S
49,47,29M 2S
51,47,28M 43S
52,47,28M 3S
52,50,26M 58S
55,50,26M 44S
57,50,25M 53S
57,53,25M 29S
57,56,24M 48S
58,56,24M 28S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
61,56,23M 31S
61,59,23M 5S
61,61,21M 22S
61,63,20M 38S
63,63,20M 34S
65,63,20M 3S
67,63,19M 29S
67,65,18M 56S
70,65,18M 40S
70,67,17M 32S
70,68,17M 32S
70,70,17M 12S
72,70,16M 46S
72,73,16M 26S
72,75,15M 27S
72,76,15M 13S
72,77,15M 13S
72,80,14M 39S
74,80,13M 46S
76,80,13M 15S
76,82,12M 55S
78,82,12M 35S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
80,82,11M 27S
80,84,10M 30S
82,84,10M 7S
82,86,9M 52S
84,86,9M 36S
84,88,9M 18S
87,88,8M 40S
87,91,6M 54S
87,92,5M 20S
87,93,5M 20S
87,95,4M 48S
87,98,4M 14S
87,100,2M 59S
87,102,2M 30S
87,104,2M 0S
89,104,1M 50S
89,107,1M 3S
91,107,55S
92,107,55S
End of 4th quarter,NA,0S
