LA Clippers,Sacramento,time_rem
9-4,5-8,48M 0S
0,2,47M 39S
0,3,47M 39S
3,3,47M 25S
3,6,46M 58S
3,8,46M 25S
3,11,45M 53S
4,11,45M 42S
5,11,45M 42S
6,11,45M 42S
6,13,45M 30S
9,13,45M 12S
12,13,44M 31S
14,13,44M 0S
16,13,42M 56S
16,16,42M 49S
16,18,42M 12S
16,20,41M 50S
18,20,41M 17S
18,22,41M 7S
20,22,40M 42S
23,22,40M 11S
23,23,40M 1S
24,23,38M 58S
26,23,38M 32S
26,25,38M 25S
28,25,38M 8S
28,27,37M 53S
30,27,37M 33S
31,27,37M 12S
32,27,37M 12S
32,28,37M 0S
32,29,37M 0S
32,31,36M 29S
33,31,36M 9S
34,31,36M 9S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
34,34,35M 33S
37,34,34M 39S
37,37,34M 25S
37,39,33M 55S
37,40,33M 55S
39,40,33M 45S
39,42,33M 35S
41,42,33M 18S
42,42,32M 53S
43,42,32M 53S
43,44,32M 11S
45,44,31M 56S
45,46,31M 40S
48,46,31M 18S
48,48,31M 4S
51,48,30M 7S
51,50,29M 55S
53,50,29M 37S
53,51,28M 58S
55,51,28M 37S
55,53,28M 11S
58,53,27M 15S
58,55,26M 35S
60,55,26M 15S
63,55,25M 48S
63,56,25M 34S
63,57,25M 34S
66,57,25M 20S
66,58,25M 6S
66,59,25M 6S
69,59,24M 55S
69,61,24M 35S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
71,61,23M 45S
71,63,23M 22S
73,63,23M 5S
76,63,22M 36S
78,63,22M 3S
78,64,21M 45S
78,67,20M 49S
80,67,20M 30S
81,67,20M 30S
82,67,19M 34S
84,67,18M 46S
87,67,18M 26S
87,69,18M 6S
89,69,18M 1S
91,69,17M 19S
93,69,16M 45S
95,69,16M 2S
97,69,15M 37S
99,69,15M 8S
99,71,14M 45S
101,71,14M 20S
104,71,13M 52S
104,73,13M 37S
104,75,13M 6S
105,75,12M 53S
106,75,12M 53S
106,77,12M 36S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
106,79,11M 38S
106,81,10M 58S
108,81,10M 40S
110,81,10M 10S
112,81,9M 45S
114,81,8M 55S
114,83,8M 40S
116,83,8M 24S
116,85,8M 11S
116,87,7M 7S
117,87,6M 37S
118,87,6M 37S
121,87,5M 49S
121,89,5M 35S
121,92,5M 12S
124,92,4M 29S
124,93,4M 8S
126,93,3M 38S
126,95,3M 21S
129,95,3M 6S
131,95,2M 21S
134,95,1M 53S
134,98,1M 37S
136,98,1M 21S
136,100,1M 8S
138,100,36S
End of 4th quarter,NA,0S
