New York,LA Lakers,time_rem
38-31,39-30,48M 0S
0,0,47M 44S
2,0,46M 20S
2,3,45M 59S
4,3,45M 18S
6,3,43M 57S
6,5,43M 34S
6,6,43M 34S
6,9,43M 2S
6,11,41M 16S
8,11,41M 4S
9,11,40M 29S
10,11,40M 29S
12,11,39M 53S
12,13,39M 33S
14,13,39M 2S
14,14,38M 58S
14,15,38M 58S
15,15,38M 46S
16,15,38M 46S
16,17,38M 34S
17,17,38M 13S
18,17,38M 13S
18,19,38M 3S
21,19,37M 46S
23,19,37M 20S
23,21,37M 7S
25,21,36M 51S
25,24,36M 39S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
25,26,35M 44S
27,26,35M 23S
27,28,34M 18S
27,29,34M 18S
29,29,33M 44S
29,32,33M 23S
29,34,32M 56S
29,35,32M 56S
31,35,32M 45S
34,35,31M 53S
34,37,31M 33S
37,37,31M 19S
37,40,30M 22S
39,40,29M 58S
42,40,29M 45S
42,42,28M 25S
42,43,28M 25S
42,46,28M 6S
42,49,27M 42S
45,49,27M 26S
47,49,27M 4S
47,50,26M 53S
47,51,26M 53S
49,51,26M 40S
50,51,26M 40S
50,53,25M 23S
51,53,25M 11S
52,53,25M 11S
52,55,24M 57S
54,55,24M 42S
56,55,24M 15S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
56,56,23M 50S
57,56,23M 38S
58,56,23M 38S
58,57,23M 10S
61,57,22M 43S
61,59,22M 24S
61,61,22M 2S
61,63,21M 39S
61,65,21M 33S
62,65,19M 27S
63,65,18M 54S
64,65,18M 54S
64,67,18M 31S
66,67,18M 14S
66,68,17M 37S
66,69,17M 37S
66,70,17M 21S
67,70,17M 8S
67,73,16M 45S
69,73,15M 51S
71,73,15M 33S
Jump ball: A. Davis vs. T. Gibson (K. Caldwell,Pope gains possession),15M 10S
74,73,14M 39S
75,73,12M 48S
76,73,12M 48S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
77,73,10M 37S
78,73,10M 37S
78,75,10M 22S
79,75,9M 47S
80,75,9M 47S
82,75,8M 48S
85,75,7M 39S
85,77,7M 12S
85,80,6M 23S
87,80,5M 35S
87,82,5M 16S
87,84,4M 38S
89,84,4M 13S
89,87,2M 34S
89,89,1M 56S
91,89,1M 37S
91,91,3S
End of 4th quarter,NA,0S
Start of 1st overtime,NA,5M 0S
Jump ball: T. Gibson vs. A. Davis (T. Horton,Tucker gains possession),5M 0S
91,94,4M 37S
93,94,4M 16S
93,96,2M 25S
93,97,1M 56S
93,98,1M 56S
96,98,1M 44S
99,98,1M 11S
99,101,21S
End of 1st overtime,NA,0S
