Philadelphia,Atlanta,time_rem
7-4,5-5,48M 0S
0,0,47M 43S
1,0,47M 26S
2,0,47M 26S
2,2,46M 46S
4,2,46M 34S
4,4,45M 19S
6,4,44M 38S
8,4,44M 15S
8,5,43M 40S
8,6,43M 40S
9,6,43M 28S
10,6,42M 21S
11,6,42M 21S
11,9,42M 11S
11,12,41M 36S
13,12,41M 17S
13,15,41M 4S
16,15,40M 48S
18,15,40M 25S
18,17,40M 8S
21,17,39M 58S
21,19,39M 48S
23,19,39M 24S
23,20,39M 6S
23,21,39M 6S
25,21,38M 54S
27,21,38M 27S
27,22,37M 39S
27,23,37M 39S
29,23,37M 30S
30,23,37M 30S
32,23,37M 9S
32,26,36M 45S
32,28,36M 34S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
32,29,35M 0S
32,30,35M 0S
33,30,34M 9S
34,30,34M 9S
34,33,33M 32S
34,35,32M 59S
34,36,32M 42S
34,37,32M 42S
34,38,32M 12S
37,38,31M 52S
37,40,31M 8S
37,43,29M 58S
37,44,29M 13S
37,45,29M 13S
40,45,28M 58S
40,46,28M 47S
40,47,28M 47S
41,47,28M 32S
42,47,28M 32S
42,49,28M 22S
42,52,27M 55S
44,52,27M 36S
44,55,27M 17S
46,55,26M 59S
46,57,26M 16S
46,59,25M 48S
46,61,25M 25S
46,62,24M 50S
46,64,24M 43S
46,65,24M 43S
48,65,24M 32S
50,65,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
50,67,23M 21S
50,69,22M 44S
50,71,21M 50S
50,72,21M 13S
50,73,21M 13S
52,73,20M 53S
52,75,20M 37S
52,77,20M 15S
52,78,19M 49S
52,80,19M 16S
54,80,18M 59S
54,83,18M 37S
57,83,18M 24S
59,83,17M 56S
61,83,16M 33S
61,86,16M 17S
63,86,15M 55S
63,89,15M 39S
65,89,15M 21S
65,92,15M 8S
65,95,13M 29S
65,97,12M 28S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
65,100,11M 44S
68,100,11M 24S
70,100,10M 47S
72,100,10M 19S
74,100,9M 56S
74,101,9M 31S
76,101,9M 18S
76,103,8M 56S
76,106,8M 19S
78,106,7M 53S
80,106,5M 49S
81,106,5M 0S
82,106,5M 0S
84,106,2M 38S
84,109,2M 20S
87,109,2M 3S
89,109,1M 4S
89,112,47S
92,112,35S
94,112,6S
End of 4th quarter,NA,0S
