San Antonio,Atlanta,time_rem
15-11,11-14,48M 0S
0,0,47M 46S
2,0,46M 49S
4,0,46M 7S
4,2,45M 49S
6,2,45M 35S
6,4,45M 24S
8,4,45M 10S
8,6,44M 51S
11,6,44M 38S
13,6,44M 12S
13,9,43M 56S
15,9,43M 29S
15,11,43M 17S
16,11,42M 57S
17,11,42M 57S
19,11,42M 24S
21,11,41M 49S
21,12,41M 37S
21,13,41M 37S
21,14,40M 51S
21,15,40M 51S
21,16,40M 51S
24,16,40M 34S
24,18,40M 23S
24,20,40M 1S
25,20,39M 44S
26,20,39M 44S
26,23,39M 34S
27,23,39M 18S
27,25,38M 49S
29,25,37M 56S
29,27,37M 47S
32,27,37M 37S
34,27,36M 39S
36,27,36M 18S
36,28,36M 0S
36,29,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
36,31,34M 47S
36,33,34M 9S
39,33,33M 50S
42,33,33M 24S
42,35,32M 45S
45,35,32M 30S
45,38,32M 8S
47,38,31M 48S
48,38,31M 32S
50,38,31M 1S
Jump ball: R. Gay vs. T. Young (K. Johnson gains possession),NA,30M 44S
51,38,30M 9S
52,38,30M 9S
52,40,29M 50S
55,40,29M 39S
55,42,29M 18S
57,42,28M 37S
57,44,28M 19S
59,44,28M 0S
60,44,27M 43S
61,44,27M 43S
64,44,26M 52S
66,44,26M 19S
68,44,25M 50S
71,44,25M 20S
72,44,24M 59S
73,44,24M 59S
73,45,24M 53S
75,45,24M 41S
75,48,24M 34S
77,48,24M 13S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
80,48,23M 35S
82,48,22M 53S
82,49,22M 35S
83,49,22M 20S
85,49,21M 57S
87,49,21M 12S
87,51,20M 51S
89,51,20M 36S
89,52,20M 29S
89,53,20M 29S
92,53,20M 10S
92,55,19M 57S
92,57,19M 29S
94,57,19M 13S
94,59,18M 48S
96,59,18M 27S
96,61,18M 14S
98,61,18M 4S
100,61,17M 43S
100,63,16M 41S
100,65,16M 19S
102,65,15M 0S
102,68,14M 36S
104,68,14M 22S
106,68,13M 6S
106,70,12M 55S
106,71,12M 20S
106,72,12M 20S
109,72,12M 4S
110,72,12M 4S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
112,72,11M 45S
114,72,11M 14S
114,74,11M 1S
114,77,10M 14S
114,78,9M 38S
114,79,9M 38S
114,82,9M 10S
115,82,8M 48S
116,82,8M 48S
116,85,8M 30S
116,86,7M 55S
116,87,7M 30S
116,89,7M 7S
118,89,6M 50S
118,90,6M 5S
118,91,6M 5S
118,94,5M 18S
119,94,4M 37S
119,95,4M 22S
119,96,3M 53S
119,97,3M 53S
119,99,3M 25S
120,99,3M 14S
121,99,3M 14S
121,101,2M 59S
121,104,2M 41S
122,104,2M 24S
123,104,2M 24S
123,105,2M 16S
123,108,1M 50S
124,108,1M 6S
125,108,1M 6S
125,110,56S
125,112,44S
125,113,26S
125,114,26S
End of 4th quarter,NA,0S
