Milwaukee,Boston,time_rem
0-1,1-0,48M 0S
0,0,47M 46S
0,2,47M 33S
3,2,47M 17S
3,4,47M 2S
3,5,46M 31S
3,6,46M 31S
5,6,46M 17S
7,6,45M 44S
9,6,45M 24S
9,9,45M 10S
12,9,44M 59S
14,9,44M 40S
14,12,44M 23S
16,12,44M 3S
16,14,43M 44S
18,14,43M 7S
18,17,42M 51S
21,17,42M 23S
21,19,42M 1S
21,22,41M 7S
23,22,40M 25S
24,22,40M 25S
27,22,40M 0S
27,25,39M 23S
29,25,39M 7S
31,25,38M 23S
34,25,37M 32S
34,28,37M 9S
34,31,36M 38S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
36,31,35M 39S
37,31,35M 39S
37,33,35M 23S
40,33,35M 16S
40,35,34M 5S
42,35,33M 41S
42,37,33M 11S
44,37,32M 13S
46,37,31M 49S
46,39,30M 50S
48,39,30M 36S
48,42,29M 51S
48,44,29M 18S
48,45,28M 54S
48,46,28M 44S
48,49,28M 11S
50,49,27M 49S
50,51,27M 29S
52,51,26M 43S
52,54,26M 32S
52,56,26M 2S
Jump ball: J. Brown vs. J. Holiday (J. Tatum gains possession),NA,25M 46S
52,58,25M 32S
54,58,25M 10S
54,61,24M 57S
57,61,24M 42S
58,61,24M 12S
59,61,24M 12S
59,64,24M 2S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
62,64,23M 22S
63,64,22M 56S
66,64,22M 49S
66,66,21M 56S
68,66,21M 43S
68,67,21M 32S
68,69,21M 3S
68,72,20M 33S
70,72,20M 18S
70,74,19M 51S
70,76,18M 32S
71,76,18M 21S
71,78,18M 2S
73,78,17M 13S
73,80,16M 54S
74,80,16M 19S
74,83,15M 56S
76,83,15M 39S
76,86,15M 20S
78,86,15M 3S
78,88,14M 52S
78,89,14M 52S
78,91,14M 21S
80,91,14M 6S
82,91,13M 39S
82,92,13M 24S
82,93,13M 24S
82,96,13M 4S
83,96,12M 53S
84,96,12M 53S
84,98,12M 34S
84,101,12M 3S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
86,101,11M 50S
86,103,11M 32S
89,103,11M 26S
89,105,10M 58S
91,105,10M 10S
94,105,9M 43S
97,105,9M 2S
97,107,8M 37S
99,107,8M 29S
100,107,8M 29S
100,109,8M 14S
102,109,7M 55S
104,109,7M 0S
107,109,6M 28S
107,111,6M 16S
108,111,5M 40S
109,111,5M 40S
109,113,5M 25S
111,113,5M 1S
113,113,4M 22S
115,113,3M 26S
115,115,2M 58S
116,115,2M 8S
117,115,2M 8S
117,117,1M 52S
117,119,1M 24S
120,119,1M 10S
120,122,1S
121,122,0S
End of 4th quarter,NA,-12M 0S
