LA Lakers,Denver,time_rem
21-7,15-11,48M 0S
0,0,47M 44S
0,2,47M 20S
0,3,46M 44S
0,4,46M 44S
2,4,46M 26S
2,7,46M 17S
2,9,45M 51S
5,9,45M 20S
5,11,44M 38S
7,11,44M 22S
9,11,43M 55S
9,14,43M 43S
11,14,43M 26S
13,14,42M 59S
14,14,42M 25S
15,14,42M 25S
15,16,42M 1S
17,16,41M 41S
17,19,41M 21S
19,19,41M 6S
21,19,40M 49S
22,19,40M 49S
22,21,40M 32S
25,21,40M 15S
28,21,39M 40S
28,23,39M 27S
30,23,39M 18S
30,25,39M 8S
30,27,38M 31S
32,27,37M 28S
32,30,36M 46S
33,30,36M 36S
33,33,36M 30S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
35,33,35M 37S
35,36,35M 24S
37,36,34M 26S
37,37,34M 4S
37,38,34M 4S
39,38,33M 24S
40,38,33M 24S
42,38,32M 54S
42,41,32M 33S
44,41,32M 15S
45,41,31M 46S
46,41,31M 46S
46,42,31M 37S
48,42,31M 30S
49,42,31M 30S
49,45,31M 16S
51,45,31M 0S
51,48,30M 18S
51,50,29M 38S
53,50,29M 23S
53,51,29M 12S
53,52,29M 12S
53,54,28M 30S
53,57,28M 14S
53,58,27M 38S
53,59,26M 49S
53,60,26M 49S
54,60,26M 39S
55,60,26M 39S
55,62,25M 59S
57,62,25M 44S
57,64,25M 29S
57,65,25M 19S
57,66,25M 19S
57,67,24M 54S
57,68,24M 54S
57,71,24M 31S
58,71,24M 27S
59,71,24M 27S
59,73,24M 5S
61,73,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
61,74,23M 32S
61,75,23M 32S
62,75,23M 16S
63,75,23M 16S
63,77,22M 41S
65,77,22M 22S
67,77,21M 42S
67,80,20M 58S
69,80,20M 3S
71,80,19M 42S
71,83,19M 30S
71,85,18M 57S
74,85,18M 39S
74,88,18M 20S
77,88,15M 59S
77,90,15M 41S
77,92,14M 52S
79,92,14M 22S
79,95,14M 7S
79,96,14M 7S
79,97,14M 7S
81,97,13M 54S
81,98,13M 34S
81,99,13M 34S
84,99,13M 24S
84,101,13M 1S
84,103,12M 34S
85,103,12M 17S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
86,103,11M 29S
87,103,11M 29S
87,106,11M 0S
89,106,10M 41S
91,106,10M 14S
91,109,9M 59S
91,111,8M 39S
93,111,8M 13S
93,112,7M 57S
93,113,7M 57S
95,113,6M 14S
95,116,5M 32S
97,116,4M 44S
99,116,2M 49S
99,117,2M 5S
99,118,1M 38S
99,119,1M 38S
101,119,57S
101,122,38S
102,122,26S
103,122,26S
105,122,0S
End of 4th quarter,NA,0S
