San Antonio,New Orleans,time_rem
2-1,2-1,48M 0S
0,0,47M 43S
3,0,47M 34S
3,3,46M 56S
5,3,46M 29S
5,5,45M 37S
8,5,45M 20S
8,7,44M 39S
10,7,43M 49S
10,9,43M 32S
10,10,42M 28S
10,11,42M 0S
10,12,42M 0S
12,12,41M 39S
14,12,40M 55S
16,12,38M 41S
16,14,37M 39S
17,14,36M 47S
18,14,36M 47S
18,16,36M 34S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
20,16,35M 29S
20,17,35M 15S
22,17,34M 51S
22,18,34M 38S
22,19,34M 38S
24,19,34M 24S
24,21,33M 43S
26,21,33M 4S
26,22,32M 29S
26,23,32M 29S
29,23,32M 14S
29,25,30M 58S
32,25,30M 34S
32,26,30M 20S
32,27,30M 20S
32,29,29M 59S
32,31,29M 38S
32,32,29M 38S
32,34,28M 49S
34,34,28M 18S
34,36,27M 55S
37,36,27M 36S
37,38,27M 11S
37,41,26M 51S
37,43,26M 29S
39,43,25M 53S
39,45,25M 46S
42,45,25M 30S
42,46,25M 13S
42,47,25M 13S
45,47,24M 34S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
45,49,23M 25S
45,51,22M 44S
47,51,22M 2S
50,51,21M 36S
50,53,21M 6S
52,53,20M 43S
52,55,20M 38S
52,57,20M 26S
52,59,20M 7S
54,59,19M 19S
54,62,18M 55S
57,62,18M 40S
57,65,18M 21S
60,65,17M 52S
60,67,17M 31S
60,69,17M 4S
60,71,16M 30S
60,74,15M 53S
62,74,15M 26S
63,74,15M 4S
64,74,15M 4S
64,75,14M 48S
64,76,14M 48S
64,78,14M 21S
64,79,14M 21S
65,79,13M 39S
66,79,13M 39S
69,79,13M 1S
70,79,12M 41S
71,79,12M 41S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
73,79,11M 32S
73,80,11M 26S
75,80,11M 11S
77,80,10M 42S
77,82,10M 20S
79,82,10M 0S
81,82,9M 27S
83,82,9M 2S
85,82,8M 23S
85,84,8M 7S
Jump ball: J. Poeltl vs. S. Adams (L. Walker gains possession),NA,7M 23S
87,84,7M 10S
87,86,6M 56S
87,88,5M 51S
87,90,5M 7S
89,90,4M 48S
91,90,4M 15S
91,92,3M 6S
91,93,3M 6S
91,94,3M 5S
91,95,3M 5S
91,97,1M 59S
93,97,1M 51S
93,98,52S
95,98,29S
End of 4th quarter,NA,0S
