Denver,Cleveland,time_rem
16-13,10-20,48M 0S
0,0,47M 39S
2,0,47M 32S
2,2,47M 14S
4,2,46M 57S
4,5,46M 46S
6,5,46M 30S
9,5,45M 55S
11,5,45M 24S
13,5,45M 6S
15,5,44M 51S
17,5,44M 14S
17,8,44M 0S
19,8,43M 35S
19,10,43M 14S
21,10,42M 54S
21,12,42M 39S
23,12,42M 15S
23,14,41M 51S
26,14,41M 35S
26,17,40M 29S
26,19,39M 45S
28,19,39M 27S
28,20,38M 1S
28,21,38M 1S
30,21,37M 6S
30,23,36M 50S
33,23,36M 26S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
35,23,35M 41S
35,25,35M 25S
35,27,33M 57S
35,29,33M 43S
35,31,33M 21S
37,31,32M 53S
37,33,32M 36S
40,33,32M 26S
40,34,31M 55S
41,34,31M 55S
42,34,31M 55S
45,34,31M 46S
45,37,31M 25S
45,40,30M 26S
47,40,30M 13S
48,40,29M 31S
49,40,29M 31S
51,40,29M 2S
51,42,28M 53S
54,42,28M 41S
54,43,28M 30S
55,43,28M 7S
57,43,27M 53S
57,45,27M 12S
60,45,26M 37S
60,47,26M 19S
63,47,26M 4S
65,47,25M 19S
67,47,24M 39S
67,50,24M 34S
69,50,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
72,50,23M 45S
72,53,23M 22S
74,53,22M 47S
74,56,22M 30S
74,58,21M 56S
75,58,20M 54S
76,58,20M 54S
76,61,20M 36S
78,61,20M 19S
79,61,19M 55S
79,63,19M 27S
79,65,19M 6S
80,65,18M 53S
81,65,18M 53S
81,67,17M 50S
83,67,17M 37S
83,68,17M 20S
83,69,17M 20S
83,71,16M 19S
83,72,16M 19S
85,72,16M 2S
85,73,15M 54S
85,74,15M 31S
85,76,15M 14S
86,76,15M 2S
87,76,15M 2S
90,76,14M 26S
90,78,14M 3S
93,78,13M 54S
95,78,13M 15S
95,80,12M 54S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
95,82,11M 45S
98,82,11M 0S
98,83,10M 41S
101,83,10M 26S
104,83,9M 57S
106,83,9M 34S
106,84,9M 3S
106,86,8M 36S
108,86,8M 18S
108,89,8M 6S
108,90,7M 28S
108,91,7M 28S
109,91,7M 16S
109,93,6M 41S
109,95,4M 38S
111,95,4M 17S
114,95,4M 0S
114,97,2M 52S
116,97,2M 40S
116,100,2M 24S
118,100,1M 33S
120,100,22S
120,103,10S
End of 4th quarter,NA,0S
