Indiana,Orlando,time_rem
24-27,17-35,48M 0S
0,2,47M 42S
0,4,47M 14S
1,4,46M 39S
2,4,46M 39S
3,4,46M 39S
6,4,45M 21S
6,6,44M 59S
9,6,44M 12S
9,9,43M 49S
9,10,43M 28S
9,11,43M 28S
11,11,43M 11S
12,11,42M 47S
13,11,42M 47S
13,13,41M 41S
15,13,41M 25S
15,15,41M 1S
16,15,40M 52S
16,17,40M 29S
18,17,40M 20S
20,17,39M 52S
20,20,39M 37S
23,20,39M 26S
23,22,39M 7S
25,22,38M 32S
25,24,37M 39S
25,25,37M 19S
27,25,37M 10S
27,26,36M 58S
27,28,36M 36S
30,28,36M 23S
30,30,36M 3S
33,30,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
33,32,35M 36S
35,32,35M 30S
37,32,34M 35S
37,35,34M 0S
39,35,33M 54S
39,37,33M 32S
41,37,33M 16S
41,40,32M 54S
41,42,32M 21S
43,42,31M 46S
44,42,31M 46S
46,42,31M 14S
46,44,30M 41S
49,44,30M 6S
49,47,29M 45S
51,47,29M 32S
53,47,29M 7S
54,47,29M 7S
57,47,28M 41S
60,47,25M 59S
61,47,25M 24S
61,48,25M 8S
61,49,25M 8S
63,49,24M 55S
64,49,24M 21S
64,50,24M 1S
64,51,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
64,53,23M 19S
66,53,23M 8S
66,55,22M 44S
68,55,22M 33S
70,55,21M 4S
70,57,20M 50S
71,57,20M 46S
72,57,20M 46S
72,59,19M 46S
72,61,18M 57S
72,62,18M 23S
72,63,18M 23S
72,64,17M 37S
72,65,17M 25S
72,66,17M 25S
72,67,16M 41S
74,67,16M 32S
74,69,15M 38S
74,71,14M 43S
76,71,14M 23S
78,71,14M 9S
78,73,13M 47S
78,74,13M 47S
78,76,12M 59S
81,76,12M 50S
81,77,12M 10S
81,78,12M 10S
83,78,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
86,78,11M 5S
86,80,10M 46S
86,81,10M 15S
86,82,10M 15S
87,82,9M 55S
88,82,9M 55S
90,82,9M 25S
92,82,8M 51S
92,84,8M 33S
95,84,8M 16S
97,84,7M 26S
98,84,7M 3S
99,84,7M 3S
99,85,6M 41S
99,86,6M 41S
99,87,6M 41S
99,90,6M 18S
99,92,4M 38S
101,92,4M 27S
102,92,4M 27S
103,92,4M 1S
104,92,4M 1S
104,94,3M 44S
104,96,3M 23S
106,96,3M 5S
106,98,2M 51S
107,98,2M 27S
108,98,2M 27S
108,100,2M 9S
108,102,1M 28S
108,104,54S
109,104,17S
109,105,14S
109,106,14S
110,106,8S
111,106,8S
End of 4th quarter,NA,0S
