Utah,LA Clippers,time_rem
2-2,2-2,48M 0S
2,0,47M 40S
2,3,47M 10S
2,6,46M 38S
2,8,46M 8S
2,10,45M 48S
4,10,44M 29S
4,13,44M 17S
6,13,43M 57S
6,16,43M 45S
6,17,42M 21S
6,18,42M 21S
6,20,41M 30S
8,20,41M 21S
10,20,39M 50S
10,23,39M 17S
10,26,38M 8S
10,27,37M 46S
10,28,37M 46S
13,28,37M 34S
13,29,37M 26S
13,30,37M 26S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
13,33,35M 42S
14,33,35M 22S
14,35,34M 17S
17,35,33M 47S
17,38,32M 41S
17,40,32M 14S
17,41,32M 14S
20,41,31M 49S
20,43,31M 25S
21,43,31M 16S
22,43,31M 16S
22,44,31M 4S
22,45,31M 4S
22,47,30M 39S
22,48,30M 39S
22,49,30M 1S
22,50,29M 21S
22,51,29M 21S
23,51,29M 14S
24,51,29M 14S
26,51,28M 50S
26,53,28M 31S
29,53,28M 18S
29,55,27M 53S
30,55,27M 36S
31,55,27M 36S
34,55,27M 5S
34,58,26M 43S
37,58,26M 28S
37,59,25M 54S
37,60,25M 54S
38,60,25M 45S
38,62,25M 24S
41,62,25M 17S
41,65,24M 53S
44,65,24M 31S
44,68,24M 9S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
47,68,23M 27S
48,68,22M 58S
49,68,22M 58S
49,71,22M 40S
51,71,22M 25S
54,71,21M 53S
55,71,21M 25S
56,71,21M 25S
56,73,21M 2S
59,73,20M 35S
59,75,19M 35S
61,75,19M 8S
61,78,18M 15S
61,80,17M 45S
64,80,17M 16S
64,82,16M 35S
64,84,16M 12S
65,84,15M 23S
66,84,15M 23S
68,84,14M 53S
68,85,14M 16S
71,85,14M 6S
71,87,13M 39S
71,88,13M 32S
71,89,13M 32S
71,90,12M 35S
71,91,12M 35S
71,92,12M 35S
73,92,12M 24S
73,94,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
73,96,11M 32S
73,98,11M 2S
75,98,10M 53S
75,101,10M 37S
77,101,10M 24S
78,101,9M 38S
79,101,9M 38S
80,101,9M 38S
82,101,9M 6S
82,103,8M 42S
85,103,8M 25S
Jump ball: P. Beverley vs. D. Mitchell (N. Batum gains possession),NA,7M 37S
85,104,6M 48S
85,105,6M 48S
88,105,6M 2S
90,105,4M 58S
91,105,4M 58S
91,106,4M 48S
91,107,4M 48S
92,107,4M 35S
94,107,3M 56S
94,110,3M 39S
97,110,3M 24S
99,110,2M 51S
99,112,2M 35S
102,112,2M 10S
102,113,1M 40S
102,114,1M 40S
103,114,1M 31S
103,115,1M 25S
103,116,1M 25S
103,117,1M 9S
103,118,1M 9S
104,118,1M 4S
End of 4th quarter,NA,0S
