Washington,Charlotte,time_rem
5-15,11-13,48M 0S
2,0,47M 38S
5,0,46M 42S
7,0,46M 14S
7,2,45M 57S
7,5,45M 44S
7,7,45M 21S
9,7,45M 0S
9,9,44M 36S
9,10,44M 17S
9,11,44M 17S
11,11,43M 46S
11,14,43M 37S
12,14,43M 24S
13,14,43M 24S
13,17,42M 57S
13,20,42M 32S
13,21,41M 59S
13,22,41M 59S
15,22,41M 39S
15,24,40M 53S
15,27,40M 36S
17,27,40M 15S
17,29,39M 56S
19,29,39M 39S
22,29,38M 46S
23,29,38M 19S
24,29,38M 19S
24,31,38M 9S
26,31,37M 6S
26,34,36M 55S
29,34,36M 33S
31,34,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
31,36,35M 44S
31,38,35M 23S
32,38,34M 42S
34,38,34M 20S
34,40,33M 26S
34,42,33M 13S
36,42,32M 49S
39,42,32M 29S
39,45,32M 16S
39,46,31M 21S
39,49,30M 41S
41,49,30M 22S
41,51,29M 42S
41,53,29M 9S
43,53,28M 55S
43,55,28M 44S
44,55,28M 35S
44,58,28M 20S
44,60,28M 5S
44,63,27M 31S
44,64,27M 1S
44,65,27M 1S
45,65,26M 51S
46,65,26M 51S
49,65,25M 38S
49,67,25M 19S
50,67,25M 10S
52,67,24M 42S
52,68,24M 20S
52,69,24M 20S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
52,70,23M 1S
52,71,23M 1S
53,71,22M 49S
55,71,22M 5S
55,74,21M 40S
58,74,21M 20S
58,77,21M 7S
58,79,19M 57S
60,79,19M 49S
60,82,18M 44S
60,84,18M 16S
60,85,18M 16S
61,85,17M 58S
62,85,17M 58S
62,87,17M 40S
Jump ball: M. Wagner vs. M. Bridges (B. Beal gains possession),NA,17M 23S
64,87,17M 17S
65,87,17M 17S
65,89,16M 21S
65,90,15M 27S
67,90,15M 8S
67,92,14M 52S
69,92,14M 39S
69,94,14M 17S
69,97,13M 37S
71,97,12M 54S
71,98,12M 44S
71,99,12M 44S
73,99,12M 36S
73,102,12M 28S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
75,102,11M 39S
75,104,10M 51S
78,104,10M 5S
78,106,9M 5S
80,106,8M 46S
80,108,8M 37S
82,108,8M 13S
83,108,8M 13S
84,108,7M 47S
84,110,7M 24S
86,110,7M 2S
86,112,6M 40S
86,114,4M 30S
89,114,3M 44S
90,114,3M 22S
90,115,3M 7S
90,116,3M 7S
93,116,2M 48S
93,117,2M 22S
94,117,1M 54S
95,117,1M 54S
96,117,1M 35S
97,117,1M 35S
97,118,1M 7S
97,119,1M 7S
End of 4th quarter,NA,0S
