New York,Golden State,time_rem
8-8,8-7,48M 0S
0,0,47M 42S
1,0,47M 37S
1,2,47M 23S
1,3,46M 50S
4,3,46M 10S
4,5,45M 56S
7,5,45M 31S
7,8,45M 18S
9,8,44M 54S
11,8,44M 37S
14,8,44M 13S
17,8,43M 49S
18,8,43M 27S
18,9,42M 58S
18,10,42M 58S
18,11,42M 32S
18,12,42M 32S
20,12,42M 17S
20,13,42M 4S
20,16,41M 8S
23,16,40M 23S
25,16,40M 2S
26,16,40M 2S
27,16,40M 2S
27,18,39M 46S
27,19,39M 46S
28,19,39M 36S
29,19,39M 36S
29,21,39M 26S
29,23,38M 54S
31,23,38M 36S
31,26,38M 29S
32,26,38M 19S
33,26,38M 19S
33,28,38M 8S
35,28,37M 53S
35,31,37M 41S
38,31,36M 59S
39,31,36M 34S
40,31,36M 34S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
41,31,35M 11S
42,31,35M 11S
42,33,34M 24S
44,33,33M 47S
44,35,33M 31S
45,35,33M 17S
45,37,33M 1S
45,38,31M 30S
45,39,31M 30S
46,39,31M 16S
46,42,29M 58S
48,42,29M 23S
49,42,28M 51S
50,42,28M 51S
50,44,28M 40S
52,44,28M 22S
52,45,28M 12S
52,46,28M 12S
52,47,27M 52S
52,48,27M 52S
52,50,27M 17S
55,50,27M 0S
55,53,26M 34S
55,54,26M 1S
55,55,26M 1S
56,55,25M 45S
57,55,25M 45S
60,55,25M 18S
61,55,25M 4S
61,57,24M 50S
62,57,24M 44S
63,57,24M 44S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
63,59,22M 45S
66,59,22M 27S
68,59,21M 37S
68,61,20M 10S
68,63,19M 26S
70,63,19M 6S
70,65,18M 44S
72,65,18M 26S
73,65,18M 26S
75,65,18M 8S
75,67,17M 54S
77,67,17M 40S
79,67,16M 41S
79,69,16M 19S
79,71,15M 47S
80,71,15M 24S
82,71,14M 56S
84,71,14M 44S
85,71,14M 9S
86,71,14M 9S
86,73,13M 28S
86,74,13M 2S
89,74,12M 46S
89,75,12M 10S
89,76,12M 10S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
90,76,11M 6S
91,76,11M 6S
91,78,10M 14S
92,78,10M 1S
92,80,9M 48S
92,81,9M 48S
94,81,9M 26S
97,81,9M 6S
98,81,8M 38S
98,82,8M 27S
98,83,8M 27S
Jump ball: K. Oubre vs. A. Burks (B. Wanamaker gains possession),NA,8M 12S
98,84,8M 9S
98,85,8M 9S
100,85,7M 28S
102,85,6M 10S
104,85,5M 43S
104,87,5M 19S
104,88,4M 55S
104,89,4M 55S
106,89,4M 41S
106,92,4M 24S
108,92,3M 59S
109,92,3M 59S
109,93,3M 54S
109,94,3M 54S
109,97,3M 25S
111,97,2M 57S
112,97,2M 25S
113,97,2M 25S
113,99,2M 13S
113,100,1M 35S
115,100,1M 11S
117,100,47S
117,101,40S
119,101,20S
119,104,9S
End of 4th quarter,NA,0S
