Denver,Toronto,time_rem
26-18,18-26,48M 0S
2,0,47M 40S
2,2,47M 18S
2,5,46M 54S
2,8,46M 24S
4,8,46M 1S
4,11,45M 29S
6,11,44M 49S
6,14,44M 39S
6,17,44M 11S
6,19,43M 46S
8,19,43M 21S
8,21,43M 14S
10,21,43M 6S
11,21,43M 6S
11,22,42M 53S
11,23,42M 53S
11,24,42M 13S
13,24,42M 1S
13,27,41M 42S
15,27,40M 59S
17,27,40M 20S
20,27,39M 49S
20,29,39M 29S
23,29,39M 10S
23,32,38M 47S
26,32,38M 36S
26,33,38M 30S
26,34,38M 30S
28,34,37M 27S
28,35,37M 19S
28,36,37M 19S
28,38,37M 6S
29,38,36M 30S
30,38,36M 30S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
32,38,35M 12S
32,41,34M 58S
32,42,34M 6S
32,43,34M 6S
34,43,33M 50S
36,43,33M 3S
36,46,32M 50S
36,47,32M 8S
36,48,32M 8S
36,51,31M 31S
36,53,31M 1S
36,55,30M 37S
38,55,29M 58S
38,57,29M 41S
41,57,29M 21S
41,60,28M 29S
41,62,28M 3S
41,65,27M 35S
43,65,27M 0S
43,67,26M 34S
45,67,26M 22S
46,67,25M 53S
47,67,25M 53S
47,70,25M 44S
50,70,25M 5S
52,70,24M 36S
52,71,24M 31S
52,72,24M 31S
54,72,24M 10S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
57,72,23M 29S
57,74,23M 4S
57,75,23M 4S
57,77,22M 37S
57,79,22M 7S
60,79,21M 52S
60,82,21M 39S
63,82,21M 13S
63,85,20M 49S
64,85,20M 36S
65,85,20M 36S
65,88,19M 57S
67,88,19M 41S
69,88,19M 20S
71,88,18M 13S
71,89,17M 53S
71,90,17M 53S
71,93,17M 19S
74,93,16M 45S
74,96,16M 19S
76,96,16M 3S
79,96,15M 22S
79,98,14M 27S
81,98,12M 11S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
81,100,11M 46S
81,101,11M 46S
84,101,11M 27S
84,103,11M 7S
84,105,10M 45S
84,106,10M 9S
84,107,10M 9S
84,110,9M 40S
87,110,9M 18S
87,112,8M 54S
87,113,8M 54S
87,116,8M 25S
87,119,7M 54S
90,119,7M 27S
90,122,6M 45S
92,122,6M 21S
92,124,6M 4S
92,126,5M 43S
92,127,5M 43S
94,127,4M 54S
95,127,4M 12S
96,127,4M 12S
96,129,3M 21S
98,129,3M 6S
100,129,2M 46S
100,132,2M 26S
101,132,2M 8S
102,132,2M 8S
103,132,2M 8S
106,132,1M 47S
106,135,1M 39S
108,135,1M 30S
109,135,1M 3S
110,135,2S
111,135,2S
End of 4th quarter,NA,0S
