Chicago,Toronto,time_rem
22-28,20-32,48M 0S
0,0,47M 43S
0,2,47M 17S
0,4,46M 50S
0,6,46M 22S
2,6,45M 20S
2,8,45M 5S
4,8,44M 50S
4,11,44M 35S
6,11,43M 52S
7,11,43M 52S
7,13,43M 42S
7,16,42M 56S
10,16,42M 41S
12,16,42M 16S
14,16,41M 45S
16,16,41M 23S
16,19,41M 1S
17,19,40M 45S
18,19,40M 45S
20,19,40M 22S
21,19,40M 22S
23,19,40M 3S
26,19,39M 37S
26,21,39M 28S
26,22,39M 9S
29,22,38M 38S
31,22,38M 5S
31,25,36M 35S
33,25,36M 30S
33,27,36M 16S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
33,29,35M 28S
36,29,35M 17S
38,29,34M 47S
40,29,34M 18S
41,29,34M 5S
42,29,34M 5S
44,29,33M 11S
45,29,32M 32S
46,29,32M 32S
48,29,30M 49S
48,31,30M 23S
51,31,30M 4S
51,33,29M 22S
53,33,29M 11S
53,34,28M 54S
53,35,28M 54S
53,38,28M 29S
56,38,28M 9S
56,40,27M 50S
56,41,27M 50S
58,41,27M 33S
60,41,27M 7S
60,43,26M 50S
61,43,26M 29S
62,43,26M 29S
62,45,26M 9S
62,46,25M 56S
64,46,25M 47S
64,48,25M 32S
64,51,25M 3S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
66,51,22M 58S
66,53,22M 44S
66,54,22M 13S
68,54,21M 49S
68,55,21M 24S
69,55,20M 36S
70,55,20M 36S
70,56,20M 20S
70,57,20M 20S
73,57,20M 12S
75,57,19M 50S
75,58,19M 36S
75,59,19M 36S
77,59,19M 27S
77,61,19M 3S
77,63,18M 33S
80,63,18M 16S
82,63,17M 38S
85,63,17M 17S
85,64,16M 14S
85,65,16M 14S
87,65,16M 2S
87,67,15M 43S
87,70,15M 26S
87,72,14M 45S
87,74,14M 13S
89,74,14M 2S
89,76,13M 44S
92,76,13M 8S
94,76,12M 39S
94,78,12M 33S
94,79,12M 33S
97,79,12M 16S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
97,80,12M 0S
99,80,11M 6S
99,82,10M 43S
101,82,10M 28S
102,82,10M 28S
102,84,10M 13S
104,84,9M 58S
104,86,9M 32S
106,86,9M 12S
108,86,8M 35S
108,88,8M 20S
108,89,8M 20S
108,90,7M 59S
108,92,7M 15S
109,92,6M 59S
109,94,6M 49S
109,96,6M 20S
111,96,5M 56S
113,96,5M 6S
113,99,4M 50S
115,99,3M 59S
115,102,3M 46S
115,105,3M 34S
115,107,2M 51S
115,108,2M 51S
117,108,1M 27S
120,108,45S
120,111,39S
121,111,31S
122,111,31S
122,113,20S
End of 4th quarter,NA,0S
