Boston,Philadelphia,time_rem
8-5,10-5,48M 0S
0,0,47M 45S
3,0,47M 35S
3,2,46M 20S
6,2,46M 3S
6,4,45M 50S
9,4,45M 29S
12,4,44M 56S
12,6,44M 7S
12,9,43M 45S
12,11,43M 18S
12,13,42M 39S
14,13,42M 18S
14,16,41M 56S
14,19,41M 32S
14,21,40M 57S
17,21,40M 46S
18,21,39M 55S
19,21,39M 55S
19,22,39M 34S
19,24,39M 10S
21,24,37M 57S
21,26,37M 41S
22,26,37M 27S
23,26,37M 27S
23,28,37M 0S
23,30,36M 41S
25,30,36M 27S
25,32,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
27,32,35M 34S
27,35,35M 15S
29,35,34M 25S
29,37,33M 58S
32,37,32M 49S
32,38,32M 35S
34,38,32M 25S
37,38,31M 59S
39,38,31M 31S
40,38,31M 31S
40,40,31M 12S
43,40,30M 46S
43,43,30M 27S
46,43,30M 7S
47,43,29M 30S
48,43,29M 30S
48,44,29M 18S
48,45,29M 18S
50,45,29M 2S
51,45,28M 30S
51,46,28M 13S
51,47,28M 13S
51,48,27M 42S
51,49,27M 42S
53,49,27M 28S
53,50,26M 46S
53,51,26M 46S
53,52,26M 29S
53,53,26M 29S
54,53,26M 9S
54,54,26M 0S
54,55,26M 0S
56,55,25M 36S
58,55,25M 13S
58,56,24M 56S
59,56,24M 38S
61,56,24M 7S
61,58,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
61,60,23M 27S
61,61,23M 27S
61,64,22M 44S
63,64,22M 31S
63,66,21M 55S
65,66,21M 28S
65,67,21M 16S
65,68,21M 16S
68,68,20M 59S
68,70,20M 2S
70,70,19M 46S
71,70,19M 17S
72,70,19M 17S
72,72,19M 0S
74,72,18M 48S
74,75,18M 28S
77,75,18M 12S
79,75,16M 59S
79,77,16M 36S
79,79,16M 9S
81,79,15M 51S
83,79,15M 19S
84,79,14M 53S
86,79,14M 37S
88,79,14M 12S
88,81,13M 53S
88,82,13M 53S
88,84,13M 33S
88,85,13M 33S
90,85,13M 15S
90,86,13M 4S
92,86,12M 31S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
92,89,11M 41S
94,89,11M 21S
94,90,10M 36S
94,91,10M 36S
97,91,10M 14S
97,93,9M 49S
97,95,9M 19S
97,96,8M 58S
97,97,8M 58S
99,97,8M 43S
99,99,8M 2S
99,100,8M 2S
101,100,7M 36S
103,100,6M 53S
103,102,5M 44S
103,103,5M 3S
103,104,5M 3S
103,105,4M 28S
105,105,4M 8S
105,108,3M 53S
105,109,3M 28S
Jump ball: D. Green vs. J. Brown (T. Harris gains possession),NA,3M 6S
107,109,2M 50S
107,111,2M 7S
109,111,1M 40S
109,112,1M 23S
109,113,1M 23S
109,114,49S
109,115,49S
Jump ball: M. Smart vs. D. Green (D. Theis gains possession),NA,35S
109,116,26S
109,117,26S
End of 4th quarter,NA,0S
