LA Clippers,New York,time_rem
16-5,9-12,48M 0S
0,2,47M 45S
0,4,47M 8S
3,4,46M 42S
5,4,46M 16S
5,6,46M 0S
7,6,45M 39S
7,8,45M 23S
8,8,45M 5S
9,8,45M 5S
9,10,44M 56S
11,10,44M 37S
11,12,44M 14S
11,13,43M 52S
12,13,43M 37S
12,16,43M 4S
15,16,42M 54S
15,18,42M 41S
15,19,41M 30S
15,20,41M 30S
17,20,41M 15S
17,23,40M 50S
18,23,40M 12S
19,23,39M 48S
20,23,39M 48S
20,25,39M 20S
20,27,38M 38S
23,27,38M 16S
23,29,37M 58S
24,29,37M 47S
25,29,37M 47S
27,29,37M 27S
27,30,37M 12S
27,31,37M 12S
29,31,36M 56S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
31,31,35M 48S
31,33,35M 32S
32,33,35M 21S
33,33,35M 21S
33,35,34M 39S
35,35,34M 24S
37,35,33M 39S
37,36,33M 6S
37,37,33M 6S
38,37,32M 50S
39,37,32M 50S
42,37,32M 26S
42,39,32M 18S
42,42,31M 33S
42,44,31M 0S
44,44,30M 43S
44,45,30M 24S
44,46,30M 24S
46,46,30M 7S
46,47,30M 3S
46,48,30M 3S
46,50,29M 32S
49,50,29M 16S
49,51,29M 7S
49,52,29M 7S
52,52,28M 49S
52,55,28M 33S
53,55,28M 24S
54,55,28M 24S
54,57,28M 3S
57,57,27M 52S
57,59,27M 40S
57,60,27M 2S
59,60,26M 46S
59,61,26M 23S
59,63,26M 0S
62,63,25M 41S
65,63,25M 9S
66,63,24M 32S
66,65,24M 18S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
69,65,23M 45S
70,65,23M 2S
71,65,23M 2S
73,65,22M 28S
73,68,22M 4S
73,70,21M 27S
75,70,21M 10S
75,72,20M 56S
77,72,20M 13S
79,72,19M 53S
79,74,19M 23S
79,77,18M 55S
82,77,18M 26S
85,77,17M 32S
85,80,17M 8S
88,80,16M 48S
88,82,16M 34S
90,82,16M 21S
92,82,15M 47S
93,82,15M 27S
94,82,15M 27S
94,84,15M 10S
96,84,14M 50S
96,87,14M 37S
99,87,14M 23S
99,89,13M 58S
101,89,13M 37S
101,90,12M 56S
101,91,12M 56S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
101,93,11M 38S
101,95,11M 7S
103,95,10M 48S
104,95,9M 22S
105,95,9M 22S
105,98,8M 48S
105,100,8M 8S
105,103,7M 44S
107,103,7M 24S
109,103,6M 50S
112,103,6M 22S
114,103,5M 45S
114,105,5M 26S
114,106,4M 43S
114,107,4M 43S
116,107,4M 2S
116,108,3M 45S
116,109,3M 45S
119,109,3M 25S
121,109,2M 55S
122,109,2M 55S
124,109,2M 37S
124,111,2M 25S
124,112,1M 52S
125,112,1M 38S
126,112,1M 38S
126,113,1M 1S
129,113,27S
129,115,17S
End of 4th quarter,NA,0S
