Brooklyn,San Antonio,time_rem
23-13,17-13,48M 0S
0,0,47M 47S
0,2,47M 34S
2,2,47M 16S
4,2,46M 48S
4,4,46M 9S
4,7,45M 31S
7,7,44M 51S
7,9,44M 29S
10,9,43M 45S
12,9,42M 48S
15,9,42M 11S
15,12,41M 50S
18,12,41M 30S
18,14,41M 13S
20,14,41M 1S
21,14,40M 9S
21,16,38M 57S
23,16,38M 37S
23,19,38M 20S
24,19,38M 4S
27,19,36M 52S
27,21,36M 31S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
28,21,35M 33S
30,21,35M 8S
30,24,34M 54S
32,24,34M 39S
32,25,34M 20S
32,26,34M 20S
32,27,33M 56S
32,28,33M 56S
32,30,32M 58S
32,32,32M 27S
35,32,31M 54S
35,34,31M 32S
37,34,31M 10S
38,34,31M 10S
38,36,30M 50S
41,36,30M 40S
43,36,30M 15S
46,36,29M 35S
46,38,29M 11S
48,38,28M 51S
48,40,28M 30S
50,40,28M 5S
52,40,27M 36S
52,43,27M 17S
52,46,26M 9S
52,49,25M 26S
55,49,25M 9S
55,51,24M 59S
55,52,24M 59S
57,52,24M 49S
57,54,24M 33S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
59,54,23M 34S
59,56,23M 21S
61,56,22M 49S
61,59,22M 20S
62,59,21M 47S
63,59,21M 47S
65,59,20M 57S
65,61,20M 39S
66,61,19M 32S
67,61,19M 32S
67,63,19M 7S
67,65,18M 35S
70,65,18M 20S
70,67,18M 4S
72,67,17M 51S
72,69,17M 31S
72,71,17M 9S
72,73,16M 40S
74,73,16M 26S
76,73,15M 30S
76,76,15M 17S
77,76,14M 43S
79,76,14M 1S
79,78,13M 40S
81,78,13M 13S
81,81,12M 4S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
81,83,11M 47S
83,83,11M 31S
83,84,11M 17S
85,84,10M 29S
86,84,9M 39S
87,84,9M 39S
90,84,8M 54S
90,86,8M 16S
92,86,7M 42S
95,86,7M 2S
97,86,6M 35S
97,88,6M 10S
99,88,5M 45S
99,89,5M 30S
99,90,5M 30S
102,90,4M 47S
102,93,4M 26S
104,93,3M 45S
104,96,3M 29S
104,97,3M 5S
104,98,3M 5S
106,98,2M 50S
107,98,2M 12S
108,98,2M 12S
108,101,1M 58S
108,104,1M 4S
108,106,40S
108,108,0S
End of 4th quarter,NA,0S
Start of 1st overtime,NA,5M 0S
Jump ball: D. Jordan vs. J. Poeltl (J. Harris gains possession),NA,5M 0S
111,108,4M 46S
113,108,4M 4S
116,108,3M 26S
116,110,3M 3S
116,113,2M 17S
119,113,1M 51S
121,113,1M 31S
124,113,1M 5S
End of 1st overtime,NA,0S
