San Antonio,New York,time_rem
33-37,39-31,48M 0S
0,0,47M 44S
0,1,46M 23S
0,2,46M 23S
3,2,46M 8S
3,4,45M 52S
3,6,45M 19S
3,8,43M 52S
5,8,43M 16S
7,8,42M 20S
9,8,41M 40S
9,10,41M 18S
9,11,40M 47S
9,12,40M 47S
9,13,39M 29S
9,14,39M 29S
10,14,39M 18S
11,14,39M 18S
12,14,39M 18S
12,16,39M 5S
14,16,38M 50S
16,16,38M 7S
18,16,36M 55S
18,18,36M 41S
18,19,36M 6S
18,20,36M 6S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
18,23,35M 25S
18,25,34M 56S
20,25,34M 25S
20,27,34M 5S
20,29,33M 37S
22,29,33M 25S
24,29,32M 55S
27,29,31M 47S
30,29,31M 22S
30,31,30M 41S
32,31,29M 53S
32,34,29M 3S
34,34,28M 48S
34,36,28M 6S
35,36,27M 47S
36,36,27M 47S
38,36,27M 15S
39,36,26M 25S
40,36,26M 25S
40,38,26M 12S
43,38,26M 0S
43,40,25M 36S
43,43,25M 10S
43,46,24M 35S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
43,48,23M 20S
45,48,23M 10S
47,48,22M 35S
50,48,22M 9S
52,48,21M 41S
54,48,21M 27S
55,48,21M 27S
57,48,20M 55S
57,51,20M 41S
59,51,20M 28S
61,51,20M 0S
61,54,19M 44S
63,54,19M 23S
65,54,18M 41S
68,54,18M 8S
70,54,17M 20S
70,56,16M 56S
72,56,16M 36S
72,57,16M 9S
72,58,16M 9S
73,58,15M 45S
74,58,15M 45S
75,58,15M 45S
75,60,15M 31S
75,62,15M 4S
75,65,14M 29S
75,66,13M 57S
75,67,13M 57S
77,67,13M 14S
77,70,13M 3S
77,72,12M 32S
77,73,12M 32S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
77,76,11M 41S
77,79,10M 48S
79,79,9M 17S
81,79,8M 39S
81,81,8M 18S
81,84,7M 30S
82,84,7M 16S
83,84,7M 16S
83,87,6M 13S
85,87,5M 35S
85,90,5M 8S
87,90,4M 5S
89,90,3M 36S
90,90,3M 36S
90,92,3M 16S
90,93,3M 16S
92,93,3M 4S
92,96,2M 48S
94,96,2M 0S
94,98,56S
96,98,10S
97,98,10S
97,99,7S
97,100,7S
98,100,5S
98,101,1S
98,102,1S
End of 4th quarter,NA,0S
