Portland,Houston,time_rem
9-8,8-9,48M 0S
0,0,47M 41S
2,0,46M 42S
4,0,45M 55S
6,0,45M 25S
8,0,44M 27S
8,2,44M 13S
8,5,43M 40S
11,5,43M 23S
13,5,42M 51S
14,5,42M 23S
15,5,42M 23S
15,8,42M 9S
17,8,41M 47S
20,8,41M 23S
23,8,40M 28S
25,8,39M 49S
25,10,39M 37S
28,10,39M 19S
30,10,38M 51S
30,12,38M 30S
30,14,37M 42S
30,15,37M 42S
30,17,36M 48S
32,17,36M 7S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
32,18,35M 2S
32,19,35M 2S
32,21,34M 8S
32,22,33M 51S
32,23,33M 51S
32,25,33M 29S
34,25,33M 6S
36,25,32M 31S
39,25,31M 59S
39,28,31M 22S
39,31,30M 54S
39,33,30M 2S
Jump ball: S. Brown vs. E. Freedom (V. Oladipo gains possession),NA,29M 31S
39,35,29M 27S
41,35,29M 14S
41,37,28M 57S
43,37,28M 43S
43,38,28M 24S
43,39,28M 24S
46,39,28M 8S
46,41,27M 37S
46,43,27M 0S
46,45,26M 40S
47,45,26M 29S
48,45,26M 29S
48,47,26M 0S
48,49,25M 37S
48,51,25M 0S
50,51,24M 26S
50,53,24M 6S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
50,55,22M 51S
50,58,22M 8S
51,58,21M 42S
51,61,21M 17S
54,61,21M 0S
54,64,20M 46S
56,64,20M 2S
56,66,19M 46S
58,66,19M 34S
61,66,19M 16S
64,66,18M 50S
64,67,18M 10S
64,70,17M 32S
64,72,16M 21S
64,74,15M 49S
66,74,15M 33S
66,76,15M 15S
66,77,15M 15S
68,77,14M 52S
70,77,14M 32S
70,80,14M 12S
70,83,13M 33S
73,83,13M 17S
73,86,13M 4S
74,86,12M 51S
77,86,12M 21S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
79,86,11M 29S
82,86,10M 51S
85,86,10M 36S
88,86,10M 1S
88,88,9M 16S
88,89,9M 16S
88,92,7M 3S
91,92,6M 13S
91,95,4M 52S
94,95,4M 26S
96,95,3M 51S
96,96,2M 17S
96,97,2M 17S
96,99,1M 42S
98,99,1M 28S
98,101,26S
98,102,17S
101,102,3S
101,103,2S
101,104,2S
End of 4th quarter,NA,0S
