Denver,LA Lakers,time_rem
12-9,17-6,48M 0S
3,0,47M 45S
3,2,47M 18S
5,2,46M 54S
5,4,46M 36S
5,7,46M 13S
7,7,45M 48S
9,7,45M 14S
12,7,44M 51S
12,9,43M 49S
12,11,43M 7S
15,11,42M 35S
15,13,42M 6S
17,13,41M 56S
19,13,41M 18S
19,16,41M 2S
19,17,40M 29S
19,18,40M 29S
21,18,40M 12S
21,21,39M 50S
21,23,39M 24S
23,23,38M 57S
23,25,38M 19S
25,25,38M 3S
27,25,37M 42S
27,27,37M 23S
28,27,37M 8S
30,27,36M 35S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
30,29,35M 40S
30,30,35M 40S
31,30,34M 53S
32,30,34M 53S
35,30,34M 26S
35,33,34M 6S
38,33,33M 24S
38,35,33M 5S
40,35,32M 38S
40,37,32M 30S
42,37,32M 6S
44,37,31M 40S
45,37,31M 40S
45,39,30M 33S
45,40,30M 33S
46,40,30M 13S
48,40,29M 33S
49,40,27M 50S
50,40,27M 50S
51,40,27M 31S
52,40,27M 31S
52,42,26M 28S
53,42,25M 36S
54,42,25M 36S
54,44,24M 56S
56,44,24M 27S
56,45,24M 10S
56,46,24M 10S
58,46,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
58,48,23M 41S
60,48,23M 17S
60,50,23M 8S
60,51,23M 8S
60,53,22M 52S
62,53,21M 55S
62,55,21M 45S
64,55,21M 26S
64,56,20M 43S
64,57,20M 43S
64,59,20M 21S
66,59,19M 20S
66,61,19M 6S
68,61,18M 46S
68,63,18M 15S
69,63,18M 15S
71,63,17M 57S
71,66,17M 35S
73,66,17M 14S
73,67,16M 36S
73,68,16M 36S
75,68,16M 20S
75,70,15M 34S
75,71,15M 4S
75,72,14M 44S
75,74,14M 18S
75,76,13M 39S
75,79,12M 59S
75,81,12M 36S
75,83,12M 25S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
75,85,11M 12S
77,85,10M 55S
77,87,10M 43S
80,87,10M 22S
80,90,9M 14S
82,90,8M 43S
82,92,8M 10S
82,94,7M 32S
82,96,7M 10S
84,96,6M 14S
84,98,5M 31S
84,99,5M 31S
87,99,5M 9S
89,99,4M 36S
89,102,4M 18S
89,104,3M 46S
89,106,3M 14S
89,108,2M 47S
89,110,2M 18S
89,112,1M 35S
89,114,1M 21S
90,114,1M 13S
93,114,35S
End of 4th quarter,NA,0S
