Phoenix,Houston,time_rem
35-14,13-37,48M 0S
0,3,47M 49S
3,3,47M 30S
3,5,46M 41S
3,7,46M 17S
3,9,45M 49S
3,11,45M 17S
6,11,44M 54S
9,11,44M 36S
9,13,44M 22S
11,13,44M 10S
11,15,43M 49S
14,15,43M 11S
17,15,42M 53S
20,15,42M 20S
20,18,42M 12S
23,18,41M 50S
Jump ball: D. Ayton vs. J. Tate (J. Crowder gains possession),NA,41M 20S
23,20,40M 40S
25,20,40M 25S
25,21,40M 3S
25,22,40M 3S
27,22,39M 50S
27,23,39M 39S
27,24,39M 39S
29,24,38M 51S
29,27,38M 32S
29,29,38M 0S
31,29,37M 45S
31,32,37M 9S
31,33,36M 52S
31,34,36M 52S
34,34,36M 37S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
37,34,35M 36S
37,37,35M 10S
39,37,33M 16S
39,38,32M 57S
41,38,32M 40S
44,38,32M 25S
44,40,31M 29S
44,41,31M 7S
44,42,31M 7S
44,43,31M 7S
47,43,30M 52S
47,45,30M 39S
47,47,30M 9S
49,47,29M 54S
49,50,29M 38S
51,50,29M 24S
53,50,28M 54S
53,52,28M 41S
54,52,28M 28S
55,52,28M 28S
55,53,28M 14S
57,53,27M 58S
59,53,27M 30S
59,54,27M 17S
59,55,27M 17S
62,55,27M 5S
63,55,26M 10S
64,55,26M 10S
64,57,25M 49S
64,58,25M 49S
65,58,25M 30S
66,58,25M 30S
67,58,25M 3S
68,58,25M 3S
70,58,24M 7S
70,60,24M 2S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
73,60,23M 24S
74,60,23M 1S
75,60,23M 1S
75,61,22M 50S
75,62,22M 50S
77,62,22M 31S
77,65,21M 56S
77,68,21M 29S
79,68,21M 5S
81,68,20M 17S
81,70,20M 0S
81,71,20M 0S
83,71,19M 52S
83,73,19M 33S
86,73,18M 58S
88,73,17M 39S
88,76,17M 11S
90,76,16M 50S
90,78,16M 42S
90,81,16M 19S
90,83,15M 56S
91,83,15M 39S
91,85,15M 10S
93,85,14M 52S
93,88,14M 36S
94,88,14M 14S
95,88,14M 14S
97,88,13M 22S
100,88,12M 44S
101,88,12M 44S
101,90,12M 29S
101,92,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
101,95,11M 37S
101,98,11M 2S
101,101,10M 20S
102,101,9M 55S
103,101,9M 55S
103,103,9M 25S
104,103,9M 11S
104,105,8M 0S
104,106,7M 22S
104,107,7M 22S
106,107,7M 13S
107,107,7M 13S
110,107,6M 55S
112,107,6M 31S
114,107,6M 11S
114,109,5M 2S
115,109,4M 43S
117,109,4M 20S
117,112,3M 59S
117,113,3M 41S
117,114,3M 41S
120,114,3M 28S
123,114,3M 4S
124,114,2M 24S
125,114,2M 24S
125,116,2M 0S
125,117,1M 40S
125,118,1M 40S
126,118,1M 27S
127,118,1M 27S
127,120,1M 16S
129,120,1M 4S
129,123,50S
129,126,41S
130,126,37S
131,126,37S
131,127,30S
131,128,30S
131,129,3S
131,130,3S
132,130,2S
133,130,2S
End of 4th quarter,NA,0S
