Sacramento,Memphis,time_rem
31-39,37-33,48M 0S
0,2,47M 44S
3,2,46M 59S
6,2,46M 32S
6,4,46M 18S
8,4,45M 53S
8,7,45M 39S
8,9,44M 58S
10,9,44M 25S
10,11,44M 10S
10,13,43M 26S
10,14,43M 3S
13,14,42M 23S
13,16,42M 6S
15,16,41M 30S
16,16,41M 30S
16,19,41M 13S
18,19,40M 57S
18,21,40M 50S
20,21,40M 34S
20,24,40M 9S
23,24,39M 45S
23,26,39M 3S
23,29,38M 42S
26,29,38M 22S
26,31,38M 7S
26,33,37M 40S
29,33,37M 27S
32,33,36M 52S
32,35,36M 33S
32,36,36M 17S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
33,36,35M 39S
34,36,35M 39S
37,36,35M 5S
37,38,34M 52S
39,38,34M 40S
41,38,34M 4S
43,38,33M 29S
43,41,33M 7S
45,41,32M 49S
45,43,31M 29S
47,43,30M 12S
47,45,29M 57S
47,48,29M 39S
49,48,29M 17S
51,48,28M 12S
51,50,27M 51S
54,50,27M 27S
54,51,27M 15S
54,52,27M 15S
55,52,27M 2S
57,52,26M 38S
57,54,26M 16S
60,54,25M 50S
60,55,25M 27S
60,56,25M 27S
60,59,24M 42S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
61,59,23M 51S
61,61,23M 37S
63,61,23M 3S
63,63,22M 50S
63,64,22M 50S
63,66,22M 16S
65,66,21M 49S
65,68,20M 48S
65,70,20M 16S
68,70,20M 5S
68,73,19M 25S
68,75,18M 32S
68,76,18M 32S
70,76,18M 15S
70,78,18M 1S
72,78,16M 45S
73,78,16M 27S
74,78,16M 27S
74,80,16M 13S
74,82,14M 44S
76,82,14M 26S
78,82,14M 7S
78,84,13M 49S
80,84,13M 39S
80,87,13M 17S
83,87,12M 46S
83,88,12M 19S
83,89,12M 19S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
85,89,11M 33S
86,89,11M 33S
86,91,10M 46S
88,91,10M 29S
90,91,9M 56S
93,91,9M 24S
96,91,8M 49S
99,91,8M 10S
99,93,7M 43S
100,93,7M 21S
100,96,7M 13S
102,96,6M 50S
102,98,6M 3S
102,100,4M 59S
105,100,4M 42S
105,102,4M 26S
108,102,3M 40S
108,103,3M 26S
108,104,3M 26S
110,104,3M 8S
110,106,2M 53S
110,109,2M 4S
110,111,1M 23S
110,112,1M 23S
110,114,1M 4S
110,115,34S
110,116,34S
End of 4th quarter,NA,0S
