San Antonio,Indiana,time_rem
28-28,26-31,48M 0S
0,0,47M 42S
2,0,47M 2S
2,2,46M 44S
2,4,46M 17S
5,4,45M 54S
5,7,45M 41S
5,9,45M 24S
7,9,44M 29S
9,9,44M 4S
9,12,43M 56S
9,15,43M 5S
12,15,42M 44S
14,15,42M 12S
16,15,41M 56S
17,15,41M 37S
17,17,41M 24S
18,17,41M 5S
19,17,41M 5S
21,17,40M 38S
22,17,40M 26S
23,17,39M 52S
24,17,39M 52S
24,19,39M 41S
27,19,38M 16S
28,19,37M 50S
29,19,37M 50S
29,21,37M 33S
31,21,37M 13S
32,21,36M 42S
33,21,36M 42S
36,21,36M 7S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
38,21,35M 37S
38,23,34M 36S
38,25,34M 7S
40,25,33M 1S
42,25,32M 30S
42,26,31M 49S
42,27,31M 49S
43,27,31M 36S
43,28,30M 47S
43,29,30M 47S
43,31,30M 32S
45,31,29M 58S
45,32,29M 30S
47,32,29M 15S
47,34,28M 36S
47,36,28M 14S
47,38,27M 42S
50,38,26M 54S
50,40,26M 25S
53,40,26M 10S
53,42,26M 3S
54,42,25M 15S
55,42,25M 15S
55,43,25M 0S
55,44,25M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
55,45,23M 44S
55,46,23M 44S
57,46,23M 30S
59,46,23M 5S
59,47,22M 50S
61,47,22M 21S
61,49,21M 55S
63,49,21M 36S
63,52,21M 20S
64,52,20M 58S
65,52,20M 58S
67,52,20M 15S
69,52,19M 41S
69,55,19M 33S
72,55,19M 23S
74,55,18M 44S
76,55,18M 13S
76,56,17M 48S
76,57,17M 48S
78,57,16M 38S
78,59,15M 44S
79,59,15M 24S
80,59,15M 24S
80,61,14M 52S
80,62,13M 53S
80,63,13M 53S
81,63,13M 19S
82,63,13M 19S
82,64,13M 3S
82,66,12M 39S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
82,68,11M 24S
84,68,10M 48S
84,70,9M 43S
85,70,9M 32S
86,70,9M 32S
87,70,9M 4S
88,70,7M 49S
89,70,7M 49S
89,72,7M 41S
89,74,6M 27S
91,74,6M 9S
93,74,5M 39S
93,76,5M 25S
96,76,5M 5S
98,76,4M 34S
98,79,4M 23S
100,79,4M 0S
100,81,3M 49S
102,81,3M 36S
103,81,3M 36S
103,82,3M 27S
104,82,3M 8S
105,82,3M 8S
105,85,2M 57S
107,85,1M 52S
107,87,1M 25S
107,89,1M 4S
107,90,49S
107,91,49S
108,91,34S
109,91,34S
109,94,24S
End of 4th quarter,NA,0S
