Charlotte,Philadelphia,time_rem
2-5,6-1,48M 0S
0,0,47M 43S
0,2,46M 13S
0,3,45M 18S
0,6,44M 17S
1,6,43M 57S
2,6,43M 57S
4,6,42M 56S
4,8,42M 35S
4,10,42M 16S
6,10,42M 4S
6,13,41M 43S
8,13,41M 31S
10,13,40M 57S
13,13,40M 30S
13,15,40M 15S
13,17,39M 30S
15,17,39M 24S
15,19,39M 7S
18,19,38M 48S
18,21,38M 21S
18,23,37M 48S
20,23,36M 2S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
23,23,35M 50S
23,24,35M 19S
25,24,35M 3S
28,24,34M 42S
28,26,34M 15S
28,29,33M 33S
30,29,33M 9S
33,29,32M 32S
33,31,32M 3S
36,31,31M 54S
36,33,30M 30S
36,35,30M 4S
36,38,29M 35S
36,41,29M 2S
39,41,28M 16S
39,43,28M 0S
39,45,27M 39S
41,45,27M 8S
41,47,26M 47S
43,47,26M 36S
43,48,26M 17S
43,50,25M 44S
43,51,25M 44S
43,52,25M 21S
43,53,25M 21S
43,55,24M 29S
43,58,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
44,58,23M 43S
45,58,23M 43S
45,61,23M 26S
48,61,22M 47S
50,61,22M 11S
50,62,22M 0S
50,63,22M 0S
50,65,21M 20S
53,65,21M 3S
53,67,20M 40S
55,67,19M 49S
55,69,18M 47S
55,71,18M 2S
57,71,16M 47S
59,71,16M 24S
Jump ball: D. Green vs. T. Rozier (M. Bridges gains possession),NA,15M 58S
59,73,15M 54S
61,73,15M 40S
64,73,15M 18S
64,76,15M 7S
64,78,14M 8S
64,80,13M 51S
65,80,13M 39S
66,80,13M 39S
66,82,13M 31S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
66,85,11M 25S
69,85,11M 8S
70,85,9M 52S
71,85,9M 52S
71,87,9M 41S
71,89,9M 9S
71,91,8M 58S
73,91,8M 48S
73,93,8M 39S
73,94,8M 39S
75,94,8M 28S
75,97,8M 11S
77,97,7M 52S
77,99,6M 48S
77,100,6M 48S
78,100,6M 36S
78,102,6M 25S
78,104,6M 2S
80,104,5M 53S
80,105,5M 33S
80,106,4M 59S
80,107,4M 59S
82,107,4M 47S
85,107,4M 20S
Jump ball: J. McDaniels vs. I. Joe (L. Ball gains possession),NA,4M 0S
87,107,3M 54S
87,108,3M 45S
88,108,3M 36S
89,108,3M 35S
90,108,3M 35S
90,109,3M 23S
93,109,3M 8S
93,112,2M 46S
94,112,2M 35S
95,112,2M 35S
97,112,2M 13S
97,114,1M 44S
98,114,1M 24S
98,116,1M 7S
99,116,59S
99,118,49S
101,118,16S
End of 4th quarter,NA,0S
