Miami,San Antonio,time_rem
31-28,28-29,48M 0S
0,0,47M 42S
0,3,47M 28S
2,3,46M 31S
2,6,46M 17S
4,6,45M 43S
5,6,45M 43S
7,6,45M 22S
8,6,45M 22S
8,8,45M 1S
8,10,43M 43S
10,10,43M 32S
10,12,43M 10S
13,12,42M 41S
16,12,42M 18S
16,14,41M 42S
18,14,40M 54S
18,17,40M 24S
20,17,39M 14S
20,18,38M 56S
20,19,38M 56S
20,22,38M 20S
22,22,38M 4S
22,24,37M 53S
25,24,37M 37S
25,25,37M 14S
25,26,37M 14S
27,26,36M 45S
27,27,36M 35S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
27,29,35M 27S
30,29,35M 9S
30,31,34M 53S
31,31,34M 18S
32,31,34M 18S
32,33,33M 23S
34,33,33M 0S
35,33,33M 0S
35,35,32M 34S
36,35,32M 11S
36,36,31M 25S
37,36,31M 17S
39,36,30M 47S
39,38,30M 31S
41,38,30M 18S
41,41,30M 3S
43,41,29M 26S
43,42,29M 7S
45,42,28M 23S
45,44,28M 0S
47,44,27M 38S
47,46,27M 20S
49,46,27M 7S
49,48,26M 47S
49,51,26M 15S
51,51,25M 20S
51,53,24M 5S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
51,56,22M 45S
52,56,22M 25S
52,59,21M 36S
55,59,21M 17S
55,62,20M 58S
57,62,20M 43S
59,62,19M 56S
59,64,19M 5S
61,64,17M 56S
63,64,16M 48S
64,64,16M 23S
65,64,16M 23S
65,65,16M 12S
65,66,16M 12S
68,66,16M 0S
69,66,15M 17S
70,66,15M 17S
71,66,15M 17S
73,66,14M 20S
73,68,13M 43S
75,68,13M 26S
75,70,13M 6S
75,72,12M 34S
77,72,12M 18S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
80,72,11M 42S
80,75,11M 19S
80,77,10M 47S
82,77,10M 14S
82,79,10M 5S
85,79,9M 24S
87,79,7M 12S
87,80,6M 56S
87,81,6M 56S
89,81,6M 39S
90,81,6M 15S
91,81,6M 15S
94,81,5M 48S
97,81,4M 49S
97,83,3M 49S
100,83,3M 26S
100,84,2M 23S
100,85,2M 23S
103,85,2M 4S
106,85,1M 24S
107,85,36S
107,86,25S
107,87,25S
End of 4th quarter,NA,0S
