Sacramento,Detroit,time_rem
13-20,9-24,48M 0S
0,0,47M 43S
2,0,47M 25S
5,0,46M 50S
5,3,46M 37S
7,3,46M 8S
9,3,45M 44S
12,3,45M 11S
12,4,44M 53S
14,4,44M 40S
16,4,44M 3S
16,7,43M 46S
19,7,43M 29S
19,9,43M 11S
20,9,42M 58S
21,9,42M 58S
22,9,42M 42S
22,11,42M 18S
23,11,41M 46S
25,11,41M 28S
27,11,40M 31S
27,14,40M 11S
29,14,39M 52S
30,14,39M 27S
31,14,39M 27S
31,16,39M 12S
31,17,38M 56S
31,18,38M 56S
31,19,38M 33S
31,20,38M 2S
31,21,38M 2S
33,21,37M 23S
33,23,37M 4S
35,23,36M 48S
35,25,36M 32S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
35,27,35M 17S
37,27,35M 3S
39,27,34M 4S
39,29,33M 48S
39,31,31M 38S
40,31,31M 15S
41,31,31M 15S
41,33,31M 2S
43,33,29M 33S
43,36,29M 18S
46,36,28M 59S
46,38,28M 41S
46,41,28M 1S
47,41,27M 43S
48,41,27M 43S
48,43,27M 30S
50,43,27M 21S
50,46,26M 54S
51,46,26M 34S
52,46,25M 40S
53,46,25M 40S
53,48,25M 28S
54,48,25M 19S
54,50,25M 3S
54,52,24M 28S
55,52,24M 6S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
57,52,23M 42S
57,53,23M 11S
57,54,23M 11S
57,56,22M 31S
60,56,22M 8S
62,56,21M 32S
62,59,21M 17S
64,59,21M 2S
65,59,21M 2S
65,60,20M 49S
66,60,19M 0S
67,60,19M 0S
67,62,18M 30S
69,62,18M 13S
69,65,17M 52S
71,65,17M 35S
71,67,17M 20S
71,68,17M 20S
71,70,16M 42S
71,73,16M 8S
73,73,15M 29S
73,75,15M 11S
73,76,13M 57S
73,77,13M 57S
73,78,13M 18S
73,80,12M 48S
75,80,12M 31S
Jump ball: I. Stewart vs. C. Joseph (S. Mykhailiuk gains possession),NA,12M 11S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
75,82,11M 48S
76,82,11M 35S
77,82,11M 35S
77,85,10M 34S
79,85,10M 18S
79,87,9M 57S
81,87,9M 50S
81,88,9M 7S
81,89,9M 7S
82,89,8M 22S
85,89,7M 57S
85,91,7M 40S
87,91,6M 54S
89,91,6M 27S
90,91,6M 8S
91,91,6M 8S
91,94,5M 44S
93,94,5M 34S
93,95,5M 15S
93,96,5M 15S
95,96,5M 3S
96,96,3M 47S
97,96,3M 47S
97,98,3M 35S
97,101,2M 47S
99,101,2M 29S
100,101,2M 1S
101,101,2M 1S
103,101,1M 8S
103,102,1M 0S
106,102,41S
106,104,37S
107,104,11S
107,105,10S
107,106,10S
109,106,9S
109,107,8S
110,107,7S
End of 4th quarter,NA,0S
