Toronto,Charlotte,time_rem
17-21,19-18,48M 0S
0,0,47M 44S
0,3,47M 7S
0,6,46M 30S
2,6,46M 12S
2,9,46M 4S
2,11,44M 59S
2,14,44M 17S
2,15,44M 3S
2,16,44M 3S
2,19,43M 11S
4,19,42M 43S
4,22,42M 19S
4,24,41M 57S
4,25,41M 57S
6,25,41M 37S
6,28,41M 30S
9,28,41M 18S
9,31,41M 8S
12,31,40M 53S
12,34,40M 15S
15,34,39M 54S
17,34,39M 34S
20,34,38M 34S
20,36,38M 20S
20,39,37M 57S
20,42,37M 30S
21,42,37M 19S
22,42,37M 19S
24,42,36M 52S
24,43,36M 8S
24,44,36M 8S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
24,46,35M 37S
27,46,35M 19S
27,49,34M 35S
30,49,34M 20S
30,52,34M 3S
33,52,33M 28S
33,55,33M 14S
35,55,32M 31S
35,58,31M 47S
35,59,31M 14S
35,60,31M 14S
36,60,30M 39S
37,60,30M 39S
39,60,28M 30S
40,60,28M 1S
43,60,27M 20S
46,60,26M 55S
46,63,26M 22S
Jump ball: B. Biyombo vs. D. Bembry (G. Hayward gains possession),NA,25M 22S
47,63,25M 10S
48,63,25M 10S
50,63,24M 50S
50,65,24M 29S
52,65,24M 7S
52,67,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
52,68,23M 46S
52,69,23M 46S
55,69,22M 55S
55,71,22M 28S
55,74,22M 3S
55,76,21M 44S
55,78,21M 13S
57,78,20M 32S
57,81,19M 25S
59,81,19M 3S
62,81,18M 31S
62,82,18M 29S
62,83,17M 46S
62,86,17M 19S
62,88,17M 0S
65,88,16M 41S
65,91,16M 27S
67,91,15M 57S
67,93,15M 9S
70,93,14M 52S
70,95,14M 5S
70,96,13M 31S
72,96,13M 10S
72,98,12M 56S
73,98,12M 13S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
75,98,11M 27S
76,98,9M 47S
76,100,9M 40S
78,100,9M 12S
79,100,8M 43S
80,100,8M 43S
80,102,8M 35S
80,104,7M 57S
80,105,7M 57S
80,106,7M 34S
82,106,7M 14S
82,109,6M 36S
84,109,6M 17S
84,111,5M 53S
85,111,5M 4S
86,111,5M 4S
88,111,4M 35S
89,111,4M 35S
91,111,4M 6S
91,112,3M 34S
93,112,3M 17S
95,112,2M 21S
97,112,1M 26S
98,112,1M 0S
98,114,42S
101,114,33S
104,114,3S
End of 4th quarter,NA,0S
