New Orleans,Boston,time_rem
21-25,23-24,48M 0S
0,0,47M 38S
0,3,47M 22S
1,3,47M 10S
2,3,47M 10S
2,5,46M 56S
5,5,46M 44S
7,5,45M 51S
7,8,45M 31S
10,8,44M 50S
10,10,44M 33S
12,10,43M 53S
12,13,43M 43S
12,16,43M 9S
14,16,42M 56S
15,16,42M 38S
15,17,41M 56S
15,18,41M 56S
15,20,41M 38S
15,21,41M 38S
18,21,40M 51S
18,22,40M 31S
19,22,39M 50S
20,22,39M 50S
22,22,39M 18S
22,24,39M 5S
24,24,38M 37S
26,24,37M 59S
29,24,37M 30S
32,24,37M 9S
32,27,36M 49S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
34,27,35M 30S
34,30,35M 13S
36,30,33M 48S
39,30,33M 22S
39,32,32M 46S
39,35,32M 9S
42,35,31M 45S
42,37,31M 27S
42,40,30M 47S
44,40,30M 30S
44,42,30M 18S
47,42,30M 4S
47,43,29M 44S
47,44,29M 44S
47,46,29M 0S
50,46,28M 37S
50,48,28M 16S
53,48,27M 30S
55,48,26M 46S
56,48,26M 46S
56,50,26M 42S
56,51,26M 42S
59,51,26M 25S
59,53,26M 4S
60,53,25M 49S
60,55,25M 36S
62,55,25M 5S
64,55,24M 3S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
64,57,23M 27S
64,58,22M 53S
64,59,22M 53S
64,60,22M 53S
66,60,22M 40S
66,63,22M 20S
68,63,22M 4S
68,66,21M 49S
68,68,21M 26S
68,70,21M 0S
70,70,20M 39S
70,72,20M 24S
72,72,20M 8S
74,72,19M 10S
75,72,18M 18S
76,72,18M 18S
78,72,18M 6S
80,72,17M 40S
80,74,17M 19S
80,76,16M 54S
Jump ball: P. Pritchard vs. B. Ingram (P. Pritchard gains possession),NA,16M 29S
83,76,16M 12S
85,76,15M 11S
85,78,14M 49S
86,78,13M 14S
86,81,12M 59S
88,81,12M 12S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
90,81,11M 44S
92,81,11M 11S
92,83,10M 8S
92,84,9M 31S
95,84,9M 14S
97,84,8M 37S
98,84,8M 8S
99,84,8M 8S
100,84,7M 40S
100,87,7M 26S
103,87,6M 55S
103,88,6M 8S
103,89,6M 8S
106,89,5M 50S
106,91,5M 8S
107,91,5M 1S
107,94,4M 30S
110,94,4M 8S
110,96,3M 45S
110,98,3M 14S
110,100,2M 38S
110,101,1M 51S
110,102,1M 51S
110,104,1M 22S
110,107,50S
112,107,33S
113,107,24S
114,107,24S
114,109,17S
115,109,16S
End of 4th quarter,NA,0S
